row_id,animal_name,hair,feathers,eggs,milk,airborne,aquatic,predator,toothed,backbone,breathes,venomous,fins,legs,tail,domestic,catsize
1,aardvark,1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,1
2,antelope,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1
3,bass,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0
4,bear,1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,1
5,boar,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1
6,buffalo,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1
7,calf,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1
8,carp,0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0
9,catfish,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0
10,cavy,1,0,0,1,0,0,0,1,1,1,0,0,4,0,1,0
11,cheetah,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1
12,chicken,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0
13,chub,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0
14,clam,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
15,crab,0,0,1,0,0,1,1,0,0,0,0,0,4,0,0,0
16,crayfish,0,0,1,0,0,1,1,0,0,0,0,0,6,0,0,0
17,crow,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,0
18,deer,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1
19,dogfish,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1
20,dolphin,0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1
21,dove,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0
22,duck,0,1,1,0,1,1,0,0,1,1,0,0,2,1,0,0
23,elephant,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1
24,flamingo,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,1
25,flea,0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0
26,frog,0,0,1,0,0,1,1,1,1,1,0,0,4,0,0,0
27,frog,0,0,1,0,0,1,1,1,1,1,1,0,4,0,0,0
28,fruitbat,1,0,0,1,1,0,0,1,1,1,0,0,2,1,0,0
29,giraffe,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1
