row_id,type
1,1
2,1
3,4
4,1
5,1
6,1
7,1
8,4
9,4
10,1
11,1
12,2
13,4
14,7
15,7
16,7
17,2
18,1
19,4
20,1
21,2
22,2
23,1
24,2
25,6
26,5
27,5
28,1
29,1
30,1
31,6
32,1
33,1
34,2
35,4
36,1
37,1
38,2
39,4
40,6
41,6
42,2
43,6
44,2
45,1
46,1
47,7
48,1
49,1
50,1
51,1
52,6
53,5
54,7
55,1
56,1
57,2
58,2
59,2
60,2
61,4
62,4
63,3
64,1
65,1
66,1
67,1
68,1
69,1
70,1
71,1
72,2
73,7
74,4
75,1
76,1
77,3
78,7
79,2
80,2
81,3
82,7
83,4
84,2
85,1
86,7
87,4
88,2
89,6
90,5
91,3
92,3
93,4
94,1
95,1
96,2
97,1
98,6
99,1
100,7
101,2
